"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NAA40","NAA40",-0.212190028483629,9.01514327823573,-4.02067638300485,6.71420082004146e-05,0.0147054115969273,1.48055222871853
"MUSK","MUSK",0.447958632658975,1.42497769983819,4.01905658628301,6.75903596308764e-05,0.0147054115969273,1.47466953982998
"MAT2B","MAT2B",0.206521284200298,10.6602319402989,4.01673728976175,6.82372789270788e-05,0.0147054115969273,1.46625029246204
"GIMAP2","GIMAP2",0.3801882769689,7.65735232110115,4.01323060885398,6.92265645056871e-05,0.0147054115969273,1.45352933961733
"ZFPL1","ZFPL1",-0.179111335444634,9.34618282541681,-4.00945192874784,7.0307814367985e-05,0.0147054115969273,1.43983326745603
"ITM2A","ITM2A",0.397848738408162,8.12537185468683,4.00894921808475,7.04528644669656e-05,0.0147054115969273,1.43801206649467
"TBRG4","TBRG4",-0.217009465437452,10.1855154682394,-4.00676312757268,7.10869389020982e-05,0.0147054115969273,1.43009485756625
"RASSF2","RASSF2",0.354623191999095,9.25762596902916,4.00154493330164,7.26224331998691e-05,0.0148246895044958,1.41121277205987
"TPK1","TPK1",0.362582070308878,6.21531772848728,3.99936238638073,7.32739527950202e-05,0.0148246895044958,1.40332201178164
"SLC6A3","SLC6A3",-1.08350962858633,4.41186375146956,-3.99235527300628,7.54033530315437e-05,0.015089686224606,1.3780156991185
"C14orf105","C14orf105",0.855672641946492,2.09156390019675,3.9798432438172,7.93523949460215e-05,0.0155047423164709,1.33293126418417
"TGFBR2","TGFBR2",0.305917587965851,11.6833484588206,3.97858756474939,7.97593639320195e-05,0.0155047423164709,1.3284139838982
"ITIH3","ITIH3",0.470051604608472,3.90775365763857,3.97294843565231,8.16115454701085e-05,0.0155047423164709,1.30814373544786
"TLR1","TLR1",0.325501249869301,7.62030502563801,3.97217448997418,8.18689090898165e-05,0.0155047423164709,1.30536382749985
"HIST1H2AE","HIST1H2AE",-0.736451705550209,3.68041453834377,-3.97043088275206,8.24515408030427e-05,0.0155047423164709,1.29910287942686
